id,nom_voie,id_fantoir,numero,rep,code_insee,code_post,alias,nom_ld,x,y,commune,fant_voie,fant_ld,lat,lon
ADRNIVX_0000000270750671,Rue Abel Rabaud,0034,1,"",75111,75011,"","",653906,6863444.7,Paris 11e Arrondissement,75111_0034W,,48.869379,2.371631
ADRNIVX_0000000270750672,Rue Abel Rabaud,0034,2,"",75111,75011,"","",653909.9,6863436.7,Paris 11e Arrondissement,75111_0034W,,48.869308,2.371685
ADRNIVX_0000000270750663,Rue Abel Rabaud,0034,3,"",75111,75011,"","",653926.1,6863458.1,Paris 11e Arrondissement,75111_0034W,,48.869501,2.371903
ADRNIVX_0000000270750664,Rue Abel Rabaud,0034,4,"",75111,75011,"","",653929.6,6863446.3,Paris 11e Arrondissement,75111_0034W,,48.869395,2.371952
ADRNIVX_0000000270781900,Rue Alexandre Dumas,0155,10,"",75111,75011,"","",655230.4,6861606,Paris 11e Arrondissement,75111_0155C,,48.852938,2.389878
ADRNIVX_0000000270780963,Rue Alexandre Dumas,0155,11,"",75111,75011,"","",655226.6,6861619.3,Paris 11e Arrondissement,75111_0155C,,48.853057,2.389825
ADRNIVX_0000000270781886,Rue Alexandre Dumas,0155,12,"",75111,75011,"","",655246.7,6861610.6,Paris 11e Arrondissement,75111_0155C,,48.852980,2.390100
ADRNIVX_0000000311428680,Rue Alexandre Dumas,0155,13,"",75111,75011,"","",655239.5,6861620.5,Paris 11e Arrondissement,75111_0155C,,48.853069,2.390001
ADRNIVX_0000000270781887,Rue Alexandre Dumas,0155,14,"",75111,75011,"","",655264.1,6861615.6,Paris 11e Arrondissement,75111_0155C,,48.853026,2.390337
ADRNIVX_0000000270780957,Rue Alexandre Dumas,0155,15,"",75111,75011,"","",655256.6,6861625.4,Paris 11e Arrondissement,75111_0155C,,48.853114,2.390233
ADRNIVX_0000000270780958,Rue Alexandre Dumas,0155,16,"",75111,75011,"","",655281.3,6861620.5,Paris 11e Arrondissement,75111_0155C,,48.853071,2.390571
ADRNIVX_0000000270780959,Rue Alexandre Dumas,0155,17,"",75111,75011,"","",655269.1,6861631.5,Paris 11e Arrondissement,75111_0155C,,48.853170,2.390403
ADRNIVX_0000000270780950,Rue Alexandre Dumas,0155,18,"",75111,75011,"","",655296.3,6861624.8,Paris 11e Arrondissement,75111_0155C,,48.853111,2.390775
ADRNIVX_0000000270780960,Rue Alexandre Dumas,0155,19,"",75111,75011,"","",655282.3,6861635.3,Paris 11e Arrondissement,75111_0155C,,48.853205,2.390583
ADRNIVX_0000000270780945,Rue Alexandre Dumas,0155,2,"",75111,75011,"","",655149.5,6861584.7,Paris 11e Arrondissement,75111_0155C,,48.852740,2.388778
ADRNIVX_0000000270780951,Rue Alexandre Dumas,0155,20,"",75111,75011,"","",655310.3,6861628.8,Paris 11e Arrondissement,75111_0155C,,48.853148,2.390965
ADRNIVX_0000000270780952,Rue Alexandre Dumas,0155,21,"",75111,75011,"","",655299.4,6861640.2,Paris 11e Arrondissement,75111_0155C,,48.853250,2.390815
ADRNIVX_0000000270780953,Rue Alexandre Dumas,0155,22,"",75111,75011,"","",655322.9,6861632.4,Paris 11e Arrondissement,75111_0155C,,48.853181,2.391136
ADRNIVX_0000000270780954,Rue Alexandre Dumas,0155,23,"",75111,75011,"","",655317.6,6861645.4,Paris 11e Arrondissement,75111_0155C,,48.853298,2.391063
ADRNIVX_0000000270780955,Rue Alexandre Dumas,0155,24,"",75111,75011,"","",655337.4,6861636.6,Paris 11e Arrondissement,75111_0155C,,48.853220,2.391333
ADRNIVX_0000000270780956,Rue Alexandre Dumas,0155,25,"",75111,75011,"","",655333.2,6861649.9,Paris 11e Arrondissement,75111_0155C,,48.853339,2.391275
ADRNIVX_0000000270780946,Rue Alexandre Dumas,0155,27,"",75111,75011,"","",655347,6861653.8,Paris 11e Arrondissement,75111_0155C,,48.853375,2.391462
ADRNIVX_0000000270780947,Rue Alexandre Dumas,0155,29,"",75111,75011,"","",655364.9,6861658.9,Paris 11e Arrondissement,75111_0155C,,48.853423,2.391706
ADRNIVX_0000000270781906,Rue Alexandre Dumas,0155,3,"",75111,75011,"","",655176.7,6861605,Paris 11e Arrondissement,75111_0155C,,48.852925,2.389147
ADRNIVX_0000000270780948,Rue Alexandre Dumas,0155,31,"",75111,75011,"","",655394,6861664.7,Paris 11e Arrondissement,75111_0155C,,48.853477,2.392102
ADRNIVX_0000000270780949,Rue Alexandre Dumas,0155,32,"",75111,75011,"","",655384.1,6861650,Paris 11e Arrondissement,75111_0155C,,48.853344,2.391968
ADRNIVX_0000000270780940,Rue Alexandre Dumas,0155,33,"",75111,75011,"","",655391.6,6861666.6,Paris 11e Arrondissement,75111_0155C,,48.853494,2.392069
ADRNIVX_0000000270780941,Rue Alexandre Dumas,0155,34,"",75111,75011,"","",655399.2,6861654.3,Paris 11e Arrondissement,75111_0155C,,48.853384,2.392174
ADRNIVX_0000000270780050,Rue Alexandre Dumas,0155,35,"",75111,75011,"","",655428.5,6861675,Paris 11e Arrondissement,75111_0155C,,48.853572,2.392571
ADRNIVX_0000000270780045,Rue Alexandre Dumas,0155,37,"",75111,75011,"","",655445.5,6861680.3,Paris 11e Arrondissement,75111_0155C,,48.853621,2.392802
ADRNIVX_0000000270780046,Rue Alexandre Dumas,0155,39,"",75111,75011,"","",655477.9,6861693.9,Paris 11e Arrondissement,75111_0155C,,48.853745,2.393242
ADRNIVX_0000000270781907,Rue Alexandre Dumas,0155,4,"",75111,75011,"","",655182.9,6861592.3,Paris 11e Arrondissement,75111_0155C,,48.852811,2.389233
ADRNIVX_0000000270780047,Rue Alexandre Dumas,0155,40,"",75111,75011,"","",655477.1,6861678.9,Paris 11e Arrondissement,75111_0155C,,48.853610,2.393233
ADRNIVX_0000000270780048,Rue Alexandre Dumas,0155,42,"",75111,75011,"","",655491.8,6861684,Paris 11e Arrondissement,75111_0155C,,48.853657,2.393433
ADRNIVX_0000000270780037,Rue Alexandre Dumas,0155,43,"",75111,75011,"","",655533.6,6861710.4,Paris 11e Arrondissement,75111_0155C,,48.853897,2.393999
ADRNIVX_0000000270780038,Rue Alexandre Dumas,0155,44,"",75111,75011,"","",655506.4,6861689.1,Paris 11e Arrondissement,75111_0155C,,48.853704,2.393631
ADRNIVX_0000000270780039,Rue Alexandre Dumas,0155,45,"",75111,75011,"","",655543.5,6861716,Paris 11e Arrondissement,75111_0155C,,48.853948,2.394134
ADRNIVX_0000000270780040,Rue Alexandre Dumas,0155,46,"",75111,75011,"","",655520.2,6861696.4,Paris 11e Arrondissement,75111_0155C,,48.853771,2.393818
ADRNIVX_0000000270779088,Rue Alexandre Dumas,0155,47,"",75111,75011,"","",655560.5,6861722.1,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394365
ADRNIVX_0000000270779089,Rue Alexandre Dumas,0155,49,"",75111,75011,"","",655578.2,6861728.1,Paris 11e Arrondissement,75111_0155C,,48.854060,2.394605
ADRNIVX_0000000270781895,Rue Alexandre Dumas,0155,5,"",75111,75011,"","",655191.8,6861609.3,Paris 11e Arrondissement,75111_0155C,,48.852964,2.389352
ADRNIVX_0000000270780030,Rue Alexandre Dumas,0155,50,"",75111,75011,"","",655547.6,6861705.8,Paris 11e Arrondissement,75111_0155C,,48.853857,2.394191
ADRNIVX_0000000270779090,Rue Alexandre Dumas,0155,51,"",75111,75011,"","",655598.9,6861733.4,Paris 11e Arrondissement,75111_0155C,,48.854109,2.394887
